cost_bps,portfolio_sharpe,portfolio_ann_return,portfolio_max_drawdown,sharpe_ES=F,sharpe_NQ=F,sharpe_CL=F,sharpe_6E=F,sharpe_NG=F,sharpe_HG=F,sharpe_ZN=F
0,1.6427336270169324,0.1224130673583379,0.04486007925737702,1.597681893892681,1.5448713893744939,-0.6188023796576863,0.5096806697722075,-0.8512496960080772,1.1722049638377772,0.6308254914276793
2,1.5976498349654968,0.11871544664304023,0.045030999760468385,1.551308280302053,1.504655051633598,-0.6724101594267795,0.2443260967702704,-0.8754239677702057,1.1252416332479254,0.26506854419512194
5,1.529824874877167,0.11319135365897526,0.04528734128523189,1.4814601604601056,1.4441580549528146,-0.7527294095722824,-0.15255350035599483,-0.9116894731828327,1.0547694371658127,-0.28677892904979635
10,1.4162918727964777,0.10404378752876386,0.04571447256040183,1.3643442363925613,1.342906603941756,-0.8862952603276736,-0.8055728155430031,-0.9721393855440188,0.9372914730402017,-1.20122516928757
20,1.187659246709407,0.08596876875780834,0.04789560065367251,1.127929381713782,1.1390709069030673,-1.1519500112195566,-2.0476807135078157,-1.0930431285470794,0.7025678423922015,-2.923651732704569
30,0.9574623447538326,0.06818339732842738,0.05251381180403585,0.889466479947793,0.9339390355843492,-1.4149974737249504,-3.1603799210646737,-1.2139078325476276,0.46874369875506866,-4.390762781688986
