,sharpe,sortino,max_drawdown,calmar,win_rate,annualized_return,annualized_vol,profit_factor,n_obs,turnover,hrp_weight
ES=F,1.5474985205119212,1.592063933861069,0.01559557145090126,1.7941341791107566,0.4922360248447205,0.027980547782825882,0.017937528320018346,1.4780068243263373,644.0,6.0950269151044,0.33333333333333337
NQ=F,1.6753928553072177,1.8531540163264677,0.008396675645105588,3.703976259687463,0.5062111801242236,0.031101087249767012,0.018382217287432844,1.514101207186589,644.0,5.567553540362,0.33333333333333337
CL=F,-0.4564603364015143,-0.3634934020965636,0.04449014286892746,-0.2599717908694907,0.19440124416796267,-0.011566182117674573,0.02481231434591035,0.8623649795783017,643.0,6.129559650262576,0.0
6E=F,0.11455982037087034,0.09154151489525976,0.016274187983448284,0.079541398133321,0.2406832298136646,0.0012944716656879685,0.011911602149649272,1.0337675320292707,644.0,12.211731918320664,0.0
NG=F,-0.4172017450017026,-0.3503529565726504,0.061264852117833855,-0.21651289418381214,0.2223950233281493,-0.01326463044377546,0.030863855148515848,0.8789320612339736,643.0,3.7081450227843575,0.33333333333333337
HG=F,1.3275242538511012,1.448758879187529,0.03995355663481336,1.3446120971093165,0.2954898911353033,0.053722035573712246,0.04002272216302399,1.4300095370983077,643.0,9.147214595288183,0.0
ZN=F,0.08072410452332121,0.06818156235498651,0.025705588762281826,0.03711712908977504,0.20341614906832298,0.0009541176564182852,0.012832130813397543,1.0259369081722947,644.0,18.861462068638023,0.0
