ticker,regime,frac_bars,ann_return,sharpe,n_obs
ES=F,MEAN_REVERT,0.484472049689441,0.02421447086309403,0.4144138149772773,312
ES=F,NEUTRAL,0.2841614906832298,0.1011382749124412,2.026886938204125,183
ES=F,MOMENTUM,0.23136645962732919,0.3227843021403063,2.9835283882727937,149
NQ=F,MEAN_REVERT,0.44565217391304346,0.0470633527132458,0.7021007755065519,287
NQ=F,NEUTRAL,0.2826086956521739,0.09271744438643847,1.709473981301088,182
NQ=F,MOMENTUM,0.2717391304347826,0.317394840588471,2.372242192983644,175
CL=F,MEAN_REVERT,0.5396578538102644,-0.042441500162291645,-0.3954562370303098,347
CL=F,NEUTRAL,0.2317262830482115,-0.006713921078485341,-0.17568115072145946,149
CL=F,MOMENTUM,0.2286158631415241,-0.19795926741093717,-1.35595390830468,147
6E=F,MEAN_REVERT,0.2841614906832298,-0.0008660555522537194,0.0020128639081504534,183
6E=F,NEUTRAL,0.40062111801242234,-0.021875870883965143,-0.9570874834565155,258
6E=F,MOMENTUM,0.31521739130434784,0.0614772900585665,1.0190411748630073,203
NG=F,MEAN_REVERT,0.2954898911353033,0.09232804468839517,1.02443079824906,190
NG=F,NEUTRAL,0.3094867807153966,-0.003472925036856922,-0.04591200536962314,199
NG=F,MOMENTUM,0.39502332814930013,-0.33830662924301647,-1.8318090737998953,254
HG=F,MEAN_REVERT,0.2534992223950233,-0.02172391298068299,-0.16896750402048927,163
HG=F,NEUTRAL,0.23483670295489892,-0.010478346508285385,-0.20592161641112397,151
HG=F,MOMENTUM,0.5116640746500778,0.3028966934417425,1.8636678256831403,329
ZN=F,MEAN_REVERT,0.531055900621118,0.02898798015169124,0.902885880747455,342
ZN=F,NEUTRAL,0.21583850931677018,-0.0016030618497472338,-0.09254305837579872,139
ZN=F,MOMENTUM,0.2531055900621118,-0.024510484944832878,-0.49237965083588187,163
PORTFOLIO,MEAN_REVERT,0.3813953488372093,0.02187413272221561,0.3696362761085279,246
PORTFOLIO,NEUTRAL,0.16899224806201552,0.13658571406146303,3.2054106032972167,109
PORTFOLIO,MOMENTUM,0.20155038759689922,0.409590550173631,3.3870795958350417,130
