ticker,regime,frac_bars,ann_return,sharpe,n_obs
ES=F,MEAN_REVERT,0.484472049689441,0.002885967974279424,0.2755504046004303,312
ES=F,NEUTRAL,0.2841614906832298,0.014795828827278035,2.03750684171258,183
ES=F,MOMENTUM,0.23136645962732919,0.0998806912400696,2.9267375600506433,149
NQ=F,MEAN_REVERT,0.44565217391304346,0.0078067598411799555,0.7487836863440209,287
NQ=F,NEUTRAL,0.2826086956521739,0.010214934135047038,0.9861938762218408,182
NQ=F,MOMENTUM,0.2717391304347826,0.0935018624761006,2.9340195183394013,175
CL=F,MEAN_REVERT,0.5396578538102644,-0.010644416452712857,-0.3771236991720928,347
CL=F,NEUTRAL,0.2317262830482115,-0.001249589556508779,-0.2343675868229015,149
CL=F,MOMENTUM,0.2286158631415241,-0.0240641112766129,-0.7966246271142765,147
6E=F,MEAN_REVERT,0.2841614906832298,-0.00929646229904113,-0.599688072791098,183
6E=F,NEUTRAL,0.40062111801242234,-0.003493263960154147,-1.0052131001827984,258
6E=F,MOMENTUM,0.31521739130434784,0.017116012813494397,1.1471835445217553,203
NG=F,MEAN_REVERT,0.2954898911353033,0.03180370685426803,1.5147811476108854,190
NG=F,NEUTRAL,0.3094867807153966,-0.0026032208616547647,-0.3355984992243348,199
NG=F,MOMENTUM,0.39502332814930013,-0.05368668816084454,-1.2007286808393538,254
HG=F,MEAN_REVERT,0.2534992223950233,0.014629752549365493,0.5776818937968451,163
HG=F,NEUTRAL,0.23483670295489892,0.002837334284627735,0.335308223367707,151
HG=F,MOMENTUM,0.5116640746500778,0.09831316060014816,1.8111710528945208,329
ZN=F,MEAN_REVERT,0.531055900621118,0.0085347803888296,0.5777322764410192,342
ZN=F,NEUTRAL,0.21583850931677018,-0.0010745464826454887,-0.4078866351267252,139
ZN=F,MOMENTUM,0.2531055900621118,-0.013060635732610515,-0.9760672083251076,163
PORTFOLIO,MEAN_REVERT,0.4372093023255814,-0.0068909967337313915,-0.44775682157884883,282
PORTFOLIO,NEUTRAL,0.21395348837209302,0.00015738097218576108,0.024461240024412863,138
PORTFOLIO,MOMENTUM,0.2248062015503876,0.07830864377157831,3.4443097835316316,145
