,sharpe,sortino,max_drawdown,calmar,win_rate,annualized_return,annualized_vol,profit_factor,n_obs,turnover,hrp_weight
ES=F,1.551308280302053,1.4609172328612192,0.05556047800566273,1.9664636485255682,0.4922360248447205,0.10925766029284012,0.06835980233760387,1.3584458814026354,644.0,16.267133429473297,0.5
NQ=F,1.5046081743056934,1.3881883305542526,0.049589635306469135,2.5815021657157318,0.5077639751552795,0.1280157509407034,0.08233203430776889,1.364182592579528,644.0,16.875881643606505,0.5
CL=F,-0.6724101594267795,-0.518098601354563,0.2516914150249105,-0.2885463981286364,0.19440124416796267,-0.07262465124533768,0.10405665069201607,0.8381517146136028,643.0,27.99212865991607,0.0
6E=F,0.2443260967702704,0.21490058422341096,0.05453344192796642,0.17871860744610926,0.2422360248447205,0.009746140800609426,0.043575571011470526,1.060873756760604,644.0,57.80249339710159,0.0
NG=F,-0.8754308274217257,-0.6794920363970696,0.3588462726488696,-0.35947179334469764,0.2223950233281493,-0.12899511316414947,0.14548205101419384,0.7929481194173619,643.0,17.51606753708904,0.0
HG=F,1.1252416332479254,1.0693716510931042,0.12034587289210798,1.1284386100446107,0.2954898911353033,0.13580292953097572,0.11952193681014274,1.2881692474648663,643.0,27.89710577602906,0.0
ZN=F,0.26506854419512194,0.2268659252715164,0.07165740346753947,0.11980141179029051,0.20341614906832298,0.008584658100637688,0.03448917505888904,1.0694223421286322,644.0,63.48989113530327,0.0
