variant,sharpe,sortino,annualized_return,annualized_vol,max_drawdown,calmar,win_rate,turnover,total_cost_bps,alpha,beta,information_ratio,n_obs
baseline,0.9779475518829072,1.0073564811076223,0.01520271020635966,0.015552443699631473,0.019022752369964046,0.7991856231259132,0.4945736434108527,5.123575159416919,2.0,0.007282671589090607,0.04488060284996629,-1.1579434207915202,645.0
no_long_bias,0.8117129022539082,0.8728778648348697,0.019955762032782598,0.024719244529710603,0.026733268799638412,0.7464766909855975,0.39069767441860465,6.42767980903627,2.0,0.017666593305759107,0.013714636288865616,-1.0775081678967098,645.0
no_vol_target,-0.04346687625043246,-0.03980495898181709,-0.0026384755764694567,0.041214043776911305,0.0730759632814353,-0.03610592947379939,0.48372093023255813,7.707405666940851,2.0,-0.0103366020750636,0.048222223291233726,-1.2386721066557558,645.0
no_h_conviction,1.5976225467245877,1.5046511433437322,0.11871363490867126,0.07184679118594474,0.045030999760469544,2.636264696323354,0.5007751937984496,16.571507536539897,2.0,0.055197968743389524,0.3373732206241621,-0.5660140677470005,645.0
signal_only,-0.5908235747773227,-0.5194313486015318,-0.20287052269232986,0.30384232471230255,0.5389327886708813,-0.37643009844075387,0.3767441860465116,51.420560747663544,2.0,-0.21004242217324073,0.17074310510094867,-1.0941056001313736,645.0
