cost_bps,portfolio_sharpe,portfolio_ann_return,portfolio_max_drawdown,sharpe_ES=F,sharpe_NQ=F,sharpe_CL=F,sharpe_6E=F,sharpe_NG=F,sharpe_HG=F,sharpe_ZN=F
0,1.0419023992659129,0.016240559802919385,0.018778771622299156,1.6114678757576162,1.731873351698638,-0.407306570746905,0.3200766295442961,-0.39317365273920174,1.372251485105594,0.37395325863857987
2,0.978026755796437,0.015203831498965092,0.019022752369963973,1.5475481041772263,1.675547042070562,-0.4564603364015143,0.11455982037087034,-0.41719665990209565,1.3275242538511012,0.08072410452332121
5,0.8817188725785083,0.01365068964103644,0.0193886162537335,1.4507739976081169,1.5903030912656146,-0.5300722216759032,-0.19160733170795688,-0.4532310777337907,1.2602503689366615,-0.35912132315207507
10,0.7199562782411518,0.011067312914085914,0.01999810353135057,1.2872467259269116,1.4463060593866133,-0.6523952874509346,-0.6936050557085368,-0.5132830466530857,1.1476710764787288,-1.0831669576804444
20,0.39223867155834696,0.005919975717052273,0.02121600681429212,0.9528996475571649,1.1517542245692094,-0.8953697810286203,-1.650929938127029,-0.6333320087463081,0.9210228507313032,-2.4431511429602146
30,0.05990984361683629,0.0007984205045408199,0.022432483048421898,0.6110833425921324,0.8498234280434716,-1.1355633041708861,-2.5244943634745374,-0.7532433836392022,0.6928093692063818,-3.616079049582277
